state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
CT,Litchfield,3.14,0.36,0.2,0.16,0.21753909052933265
CT,Middlesex,3.14,0.36,0.2,0.16,0.21753909052933265
CT,New Haven,2.5,0.34,0.2,0.16,0.21165458434192416
CT,New London,2.08,0.28,0.16,0.14,0.17475933360803494
CT,Tolland,3.14,0.36,0.2,0.16,0.21753909052933265
CT,Windham,3.14,0.36,0.2,0.16,0.21753909052933265
DC,District of Columbia,1.14,0.14,0.1,0.11,0.11368735950924426
DE,Kent,0.98,0.3,0.25,0.18,0.23352738820199642
DE,New Castle,0.98,0.34,0.26,0.19,0.24560011457888634
DE,Sussex,0.98,0.25,0.25,0.18,0.22995679556518295
FL,Alachua,0.98,0.23,0.21,0.17,0.2024318936182512
FL,Baker,1.2,0.22,0.23,0.17,0.21450322602175984
FL,Bay,1.21,0.23,0.19,0.14,0.18201141274374755
FL,Bradford,1.17,0.21,0.22,0.16,0.20436396761136347
FL,Brevard,1.03,0.23,0.2,0.16,0.19356378737680294
FL,Broward,1.42,0.23,0.27,0.17,0.2392564038965053
FL,Calhoun,0.99,0.23,0.19,0.17,0.19124791440693792
FL,Charlotte,1.42,0.23,0.27,0.17,0.2392564038965053
FL,Citrus,1.0,0.24,0.2,0.15,0.19047957022938775
FL,Clay,1.42,0.23,0.27,0.17,0.2392564038965053
FL,Collier,1.42,0.23,0.27,0.17,0.2392564038965053
FL,Columbia,1.2,0.23,0.23,0.16,0.21162789648993913
FL,DeSoto,1.22,0.24,0.23,0.17,0.21607072148688156
FL,Dixie,0.98,0.23,0.2,0.15,0.1896261932916287
FL,Duval,1.18,0.22,0.23,0.17,0.21436396761136348
FL,Escambia,1.21,0.22,0.18,0.14,0.17567049000812912
FL,Flagler,1.2,0.23,0.23,0.16,0.21162789648993913
FL,Franklin,0.98,0.23,0.2,0.15,0.1896261932916287
FL,Gadsden,0.95,0.21,0.18,0.16,0.18032490826398068
FL,Gilchrist,0.98,0.23,0.21,0.17,0.2024318936182512
FL,Glades,1.18,0.22,0.19,0.15,0.18467785465997374
FL,Gulf,0.98,0.23,0.2,0.15,0.1896261932916287
FL,Hamilton,0.98,0.23,0.2,0.15,0.1896261932916287
FL,Hardee,1.22,0.24,0.23,0.17,0.21607072148688156
FL,Hendry,1.41,0.22,0.19,0.15,0.18627932637953173
FL,Hernando,1.0,0.24,0.2,0.15,0.19047957022938775
FL,Highlands,1.1,0.23,0.2,0.16,0.19405119181319017
FL,Hillsborough,1.03,0.25,0.2,0.16,0.19499202443152833
FL,Holmes,1.21,0.22,0.18,0.13,0.17208104194894575
FL,Indian River,1.22,0.24,0.23,0.17,0.21607072148688156
FL,Jackson,1.39,0.23,0.19,0.15,0.18685418649649807
FL,Jefferson,0.97,0.21,0.18,0.15,0.17687471861519363
FL,Lafayette,0.98,0.23,0.21,0.17,0.2024318936182512
FL,Lake,0.94,0.18,0.15,0.12,0.14687471861519363
FL,Lee,1.42,0.23,0.27,0.17,0.2392564038965053
FL,Leon,0.98,0.23,0.2,0.16,0.19321564135081207
FL,Levy,0.98,0.23,0.2,0.15,0.1896261932916287
FL,Liberty,1.18,0.23,0.2,0.16,0.19460822545477555
FL,Madison,0.97,0.21,0.18,0.15,0.17687471861519363
FL,Manatee,1.22,0.24,0.23,0.17,0.21607072148688156
FL,Marion,0.98,0.24,0.2,0.15,0.1903403118189914
FL,Martin,1.42,0.23,0.27,0.17,0.2392564038965053
FL,Miami Dade,1.19,0.23,0.23,0.18,0.21873716340310773
FL,Monroe,1.67,0.29,0.27,0.19,0.25246074130900265
FL,Nassau,1.39,0.23,0.19,0.17,0.19403308261486485
FL,Okaloosa,1.43,0.23,0.18,0.12,0.17073755493148485
FL,Okeechobee,1.3,0.23,0.23,0.16,0.21232418854192087
FL,Orange,0.98,0.23,0.23,0.16,0.2100960539755793
FL,Osceola,0.99,0.23,0.22,0.16,0.20453887897252174
FL,Palm Beach,1.22,0.23,0.24,0.18,0.22457285522695797
FL,Pasco,1.03,0.24,0.2,0.15,0.19068845784498226
FL,Pinellas,1.87,0.28,0.22,0.16,0.2142368416667745
